time_s,sleep_s,chunk,joules_total,cps,cpj,n_cores,freq_ghz,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
41.070261001586914,0.4991323947906494,0,17.6226806640625,622.5789407426819,31.60177495786656,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
41.57082009315491,0.4990103244781494,576,18.945022583007812,706.386891055325,30.403764232861167,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
42.07132863998413,0.49900174140930176,0,18.863128662109375,706.386891055325,30.403764232861167,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
42.571890354156494,0.49900221824645996,0,19.736846923828125,706.386891055325,30.403764232861167,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
43.07243633270264,0.49906158447265625,608,19.423202514648438,406.4163870944732,31.30276789017997,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
43.57299327850342,0.49903178215026855,608,18.335693359375,736.5597599665198,33.159367801552534,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
44.073540449142456,0.49904417991638184,0,18.757049560546875,736.5597599665198,33.159367801552534,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
44.574098348617554,0.4991128444671631,608,19.3223876953125,732.0557764499933,31.466090505341494,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
45.07465314865112,0.4991440773010254,0,18.39373779296875,732.0557764499933,31.466090505341494,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
45.575212240219116,0.49898290634155273,608,18.909805297851562,674.564001641504,32.1526314218094,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
46.075767993927,0.4990882873535156,512,18.475479125976562,647.5458178085792,27.71240715918035,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
46.57631206512451,0.4990708827972412,0,19.606460571289062,647.5458178085792,27.71240715918035,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
47.076828956604004,0.49913954734802246,0,18.911239624023438,647.5458178085792,27.71240715918035,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
47.577373027801514,0.49896955490112305,672,18.980575561523438,442.1045535748186,35.40461656822715,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
48.07790565490723,0.49915623664855957,0,19.087814331054688,442.1045535748186,35.40461656822715,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
48.57846403121948,0.4991333484649658,640,18.839187622070312,768.0078427161964,33.971740864782994,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
49.07901215553284,0.49898219108581543,0,18.262771606445312,768.0078427161964,33.971740864782994,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
49.579570055007935,0.4989438056945801,544,18.524993896484375,664.4904014727273,29.365731672561516,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
50.08009386062622,0.4990832805633545,608,18.636489868164062,694.2317909084597,32.624169266907984,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
50.58063769340515,0.4815492630004883,0,19.665786743164062,694.2317909084597,32.624169266907984,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
51.08116888999939,0.4990513324737549,640,19.012222290039062,784.1087702791048,33.66255613029049,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
51.58172678947449,0.49910569190979004,0,19.468521118164062,784.1087702791048,33.66255613029049,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
52.08225727081299,0.4989633560180664,0,19.548965454101562,784.1087702791048,33.66255613029049,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
52.58281350135803,0.49913454055786133,672,19.07928466796875,467.9666203319804,35.22144628033078,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
53.08336567878723,0.499011754989624,608,19.386276245117188,832.3664645168064,31.362392256900634,1,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
